Updated On,State,Total Doses Administered,18-44 Years(Individuals Vaccinated),45-60 Years(Individuals Vaccinated),60+ Years(Individuals Vaccinated),Male(Individuals Vaccinated),Female(Individuals Vaccinated),Transgender(Individuals Vaccinated),Total Individuals Vaccinated
09-05-2021,Rajasthan,14177991,1136838,5013696,5346808,,,,11498654
10-05-2021,Rajasthan,14374162,1238272,5040858,5356394,,,,11636945
11-05-2021,Rajasthan,14626660,1322364,5082652,5371241,,,,11777805
12-05-2021,Rajasthan,14811519,1388421,5129426,5388312,,,,11907840
13-05-2021,Rajasthan,14934512,1428824,5156324,5400122,,,,11987039
14-05-2021,Rajasthan,14991949,1454470,5167435,5403802,,,,12027499
15-05-2021,Rajasthan,15135482,1559952,5181411,5408122,,,,12151403
16-05-2021,Rajasthan,15249948,1658738,5192335,5411047,,,,12264148
17-05-2021,Rajasthan,15414928,1776901,5225982,5419605,,,,12424705
18-05-2021,Rajasthan,15544817,1861143,5258910,5427654,,,,12550082
19-05-2021,Rajasthan,15625438,1911650,5278724,5432084,,,,12624961
20-05-2021,Rajasthan,15709931,1966391,5297922,5436618,,,,12703604
21-05-2021,Rajasthan,15819042,2040519,5317838,5441661,,,,12802925
22-05-2021,Rajasthan,15944503,2119884,5346451,5449020,,,,12918449
23-05-2021,Rajasthan,16036018,2178162,5369549,5454763,,,,13005679
24-05-2021,Rajasthan,16186100,2274869,5404167,5463574,,,,13146014
25-05-2021,Rajasthan,16287494,2327993,5433041,5471765,,,,13236338
26-05-2021,Rajasthan,16367035,2363524,5461492,5479037,,,,13307746
27-05-2021,Rajasthan,16429431,2385895,5488356,5486076,,,,13364120
28-05-2021,Rajasthan,16554847,2454647,5522259,5495428,,,,13476246
29-05-2021,Rajasthan,16759793,2584820,5570246,5509377,,,,13668689
30-05-2021,Rajasthan,16865658,2646119,5599050,5517802,,,,13767364
31-05-2021,Rajasthan,17016331,2695231,5663531,5536862,,,,13900165
01-06-2021,Rajasthan,17124031,2723756,5711169,5551103,,,,13990636
02-06-2021,Rajasthan,17240714,2745626,5770092,5569704,,,,14090093
03-06-2021,Rajasthan,17334159,2763645,5816255,5584728,,,,14169376
04-06-2021,Rajasthan,17488910,2785808,5896614,5611132,,,,14298417
05-06-2021,Rajasthan,17662091,2805353,5992204,5642431,,,,14444962
06-06-2021,Rajasthan,17743175,2813351,6037503,5657589,,,,14513474
07-06-2021,Rajasthan,17872011,2825529,6103964,5680561,,,,14615154
08-06-2021,Rajasthan,18040679,2893583,6158924,5701466,,,,14759272
09-06-2021,Rajasthan,18484841,3269653,6195749,5715610,,,,15186893
10-06-2021,Rajasthan,18832537,3572280,6221291,5724035,,,,15524081
11-06-2021,Rajasthan,19292726,3982987,6247309,5733421,,,,15970989
12-06-2021,Rajasthan,19606991,4256536,6268151,5740623,,,,16273082
13-06-2021,Rajasthan,19721553,4356118,6275391,5743714,,,,16383144
14-06-2021,Rajasthan,19895554,4503594,6287808,5748811,,,,16548285
15-06-2021,Rajasthan,19990335,4579916,6296162,5752077,,,,16636379
16-06-2021,Rajasthan,20042703,4618390,6301538,5754218,,,,16682442
17-06-2021,Rajasthan,20286459,4850559,6305616,5755823,,,,16920784
18-06-2021,Rajasthan,20630839,5181219,6310550,5758010,,,,17259146
19-06-2021,Rajasthan,20869269,5384255,6322167,5763550,,,,17479778
20-06-2021,Rajasthan,21238176,5677016,6344883,5775933,,,,17808082
21-06-2021,Rajasthan,21713044,6047579,6381833,5793019,,,,18233535
22-06-2021,Rajasthan,22139075,6335606,6428663,5815634,,,,18591445
23-06-2021,Rajasthan,22498043,6598194,6462873,5832887,,,,18905925
24-06-2021,Rajasthan,22714675,6756735,6480494,5840717,,,,19090259
16-03-2021,Sikkim,50954,14771,10291,17744,,,,42816
17-03-2021,Sikkim,54631,14936,10988,20190,,,,46124
18-03-2021,Sikkim,57312,15049,11515,21716,,,,48290
19-03-2021,Sikkim,59889,15146,12090,23123,,,,50370
20-03-2021,Sikkim,61649,15218,12395,24164,,,,51788
21-03-2021,Sikkim,61716,15216,12408,24219,,,,51854
22-03-2021,Sikkim,64495,15323,12774,25414,,,,53523
23-03-2021,Sikkim,67281,15419,13174,26929,,,,55534
24-03-2021,Sikkim,69288,15567,13545,28133,,,,57257
25-03-2021,Sikkim,71024,15669,13940,29224,,,,58846
26-03-2021,Sikkim,72788,15790,14440,30266,,,,60509
27-03-2021,Sikkim,72814,15785,14460,30277,,,,60535
28-03-2021,Sikkim,72815,15785,14460,30278,,,,60536
29-03-2021,Sikkim,72815,15785,14460,30278,,,,60536
30-03-2021,Sikkim,73752,15845,14646,30813,,,,61317
31-03-2021,Sikkim,74191,15887,14757,31040,,,,61697
01-04-2021,Sikkim,77314,15918,17303,31443,,,,64678
02-04-2021,Sikkim,78293,15922,18133,31562,,,,65631
03-04-2021,Sikkim,78880,15908,18653,31643,,,,66218
04-04-2021,Sikkim,79192,15901,18956,31659,,,,66530
05-04-2021,Sikkim,82059,15779,21239,32185,,,,69217
06-04-2021,Sikkim,85747,15761,24257,32690,,,,72723
07-04-2021,Sikkim,94426,15636,31228,34013,,,,80892
08-04-2021,Sikkim,104473,15613,38882,35571,,,,90081
09-04-2021,Sikkim,112414,15598,45008,36765,,,,97386
10-04-2021,Sikkim,115201,15609,47139,37200,,,,99963
11-04-2021,Sikkim,117171,15607,48675,37498,,,,101795
12-04-2021,Sikkim,125831,15719,54937,39215,,,,109886
13-04-2021,Sikkim,135455,15689,62133,41125,,,,118962
14-04-2021,Sikkim,141777,15680,66445,42392,,,,124532
15-04-2021,Sikkim,148555,15776,70727,43600,,,,130118
16-04-2021,Sikkim,155241,15874,74784,44817,,,,135490
17-04-2021,Sikkim,160123,15926,77799,45654,,,,139394
18-04-2021,Sikkim,161058,15927,78345,45832,,,,140119
19-04-2021,Sikkim,166609,16036,81043,46858,,,,143952
20-04-2021,Sikkim,171123,16097,83025,47731,,,,146868
21-04-2021,Sikkim,172465,16127,83722,47923,,,,147787
22-04-2021,Sikkim,177162,16153,85112,48606,,,,149886
23-04-2021,Sikkim,182621,16181,86446,49638,,,,152278
24-04-2021,Sikkim,185449,16237,87240,50089,,,,153579
25-04-2021,Sikkim,185895,16244,87486,50196,,,,153939
26-04-2021,Sikkim,189953,16284,88578,50821,,,,155696
27-04-2021,Sikkim,193834,19796,86030,51329,,,,157168
28-04-2021,Sikkim,196919,19907,86771,51749,,,,158440
29-04-2021,Sikkim,200586,19933,87558,52324,,,,159827
30-04-2021,Sikkim,203966,19974,88292,52804,,,,161083
01-05-2021,Sikkim,204960,19985,88476,52890,,,,161364
02-05-2021,Sikkim,204990,19975,88498,52894,,,,161376
03-05-2021,Sikkim,207754,20022,88803,53182,,,,162016
04-05-2021,Sikkim,210281,20052,89208,53397,,,,162666
05-05-2021,Sikkim,212688,20110,89444,53631,,,,163194
06-05-2021,Sikkim,215456,20176,89974,53914,,,,164073
07-05-2021,Sikkim,218368,20250,90185,54154,,,,164598
08-05-2021,Sikkim,219141,20246,90285,54232,,,,164772
09-05-2021,Sikkim,219312,20245,90311,54240,,,,164805
10-05-2021,Sikkim,221248,20332,90489,54370,,,,165201
11-05-2021,Sikkim,222448,20349,90639,54441,,,,165440
12-05-2021,Sikkim,223154,20388,90748,54522,,,,165669
13-05-2021,Sikkim,224984,20459,90900,54577,,,,165948
14-05-2021,Sikkim,225702,20471,91018,54618,,,,166119
15-05-2021,Sikkim,225794,20472,91079,54636,,,,166200
16-05-2021,Sikkim,226156,20823,91086,54640,,,,166562
17-05-2021,Sikkim,226891,21364,91206,54693,,,,167276
18-05-2021,Sikkim,227622,21966,91281,54743,,,,168003
19-05-2021,Sikkim,229107,23184,91460,54831,,,,169488
20-05-2021,Sikkim,230980,24697,91662,54985,,,,171357
21-05-2021,Sikkim,232718,26139,91832,55099,,,,173083
22-05-2021,Sikkim,234303,27557,91944,55152,,,,174666
23-05-2021,Sikkim,234303,27557,91944,55152,,,,174666
24-05-2021,Sikkim,235593,28697,92041,55205,,,,175956
25-05-2021,Sikkim,236874,29776,92180,55264,,,,177233
26-05-2021,Sikkim,237959,30847,92192,55266,,,,178318
27-05-2021,Sikkim,238715,31509,92267,55283,,,,179072
28-05-2021,Sikkim,238828,31574,92298,55295,,,,179180
29-05-2021,Sikkim,238891,31609,92315,55301,,,,179238
30-05-2021,Sikkim,238891,31609,92315,55301,,,,179238
31-05-2021,Sikkim,238983,31639,92344,55326,,,,179322
01-06-2021,Sikkim,239043,31663,92355,55339,,,,179370
02-06-2021,Sikkim,239174,31745,92382,55343,,,,179483
03-06-2021,Sikkim,239355,31842,92439,55363,,,,179658
04-06-2021,Sikkim,239548,31970,92473,55378,,,,179835
05-06-2021,Sikkim,239628,32044,92476,55380,,,,179914
06-06-2021,Sikkim,239779,32195,92476,55380,,,,180065
07-06-2021,Sikkim,240036,32388,92520,55388,,,,180310
08-06-2021,Sikkim,240711,32842,92659,55458,,,,180973
09-06-2021,Sikkim,244354,36283,92781,55509,,,,184590
10-06-2021,Sikkim,252346,43814,93070,55663,,,,192568
11-06-2021,Sikkim,264968,56118,93279,55752,,,,205177
12-06-2021,Sikkim,273389,64371,93384,55796,,,,213590
13-06-2021,Sikkim,273567,64549,93384,55796,,,,213768
14-06-2021,Sikkim,286462,77086,93614,55870,,,,226626
15-06-2021,Sikkim,302373,92818,93725,55915,,,,242535
16-06-2021,Sikkim,317335,107576,93852,55961,,,,257485
17-06-2021,Sikkim,331827,121783,94008,56026,,,,271946
18-06-2021,Sikkim,347391,136980,94236,56125,,,,287492
19-06-2021,Sikkim,358633,148091,94319,56152,,,,298722
20-06-2021,Sikkim,359435,148893,94319,56152,,,,299524
21-06-2021,Sikkim,371403,160640,94458,56183,,,,311460
22-06-2021,Sikkim,385331,174320,94592,56209,,,,325348
23-06-2021,Sikkim,397182,185716,94884,56305,,,,337151
24-06-2021,Sikkim,409995,197290,95216,56412,,,,349190
16-03-2021,Tamil Nadu,1423843,322414,540610,418950,,,,1282816
17-03-2021,Tamil Nadu,1581558,337968,596277,494681,,,,1429800
18-03-2021,Tamil Nadu,1695339,352791,641931,537882,,,,1533516
19-03-2021,Tamil Nadu,1814949,368572,691503,581071,,,,1642080
20-03-2021,Tamil Nadu,1941168,386626,745519,624307,,,,1757406
21-03-2021,Tamil Nadu,1988556,394846,767452,637988,,,,1801246
22-03-2021,Tamil Nadu,2085366,407952,806084,674759,,,,1889774
23-03-2021,Tamil Nadu,2217917,429721,861452,719630,,,,2011826
24-03-2021,Tamil Nadu,2317475,444533,903357,756597,,,,2105533
25-03-2021,Tamil Nadu,2422220,459325,947779,795893,,,,2204055
26-03-2021,Tamil Nadu,2527792,475284,994093,832176,,,,2302650
27-03-2021,Tamil Nadu,2632190,492512,1042225,865414,,,,2401267
28-03-2021,Tamil Nadu,2653179,495841,1052585,871891,,,,2421436
29-03-2021,Tamil Nadu,2748044,508103,1092063,908271,,,,2509568
30-03-2021,Tamil Nadu,2829551,519616,1125509,937014,,,,2583284
31-03-2021,Tamil Nadu,2905435,529975,1155390,963878,,,,2650411
01-04-2021,Tamil Nadu,2965312,537339,1181454,983213,,,,2703180
02-04-2021,Tamil Nadu,3046904,547546,1217971,1007821,,,,2774534
03-04-2021,Tamil Nadu,3101889,554007,1242126,1024090,,,,2821427
04-04-2021,Tamil Nadu,3141884,557695,1260859,1035458,,,,2855222
05-04-2021,Tamil Nadu,3187087,558032,1281579,1051351,,,,2892174
06-04-2021,Tamil Nadu,3219359,558301,1297088,1062207,,,,2918808
07-04-2021,Tamil Nadu,3280537,558714,1324370,1083351,,,,2967647
08-04-2021,Tamil Nadu,3400924,559387,1374899,1125652,,,,3061151
09-04-2021,Tamil Nadu,3532446,561815,1435320,1168465,,,,3166812
10-04-2021,Tamil Nadu,3665295,564030,1500643,1208278,,,,3274164
11-04-2021,Tamil Nadu,3714682,564869,1526893,1223081,,,,3316055
12-04-2021,Tamil Nadu,3880228,568091,1605441,1274549,,,,3449290
13-04-2021,Tamil Nadu,4019326,571908,1676744,1316094,,,,3565954
14-04-2021,Tamil Nadu,4110125,574452,1722775,1342605,,,,3641043
15-04-2021,Tamil Nadu,4315785,578668,1816091,1405758,,,,3801731
16-04-2021,Tamil Nadu,4528836,584458,1914345,1466567,,,,3966587
17-04-2021,Tamil Nadu,4669044,589328,1972383,1500712,,,,4063643
18-04-2021,Tamil Nadu,4710862,590756,1988812,1510164,,,,4090953
19-04-2021,Tamil Nadu,4813376,594251,2019843,1531756,,,,4147072
20-04-2021,Tamil Nadu,4892064,597311,2042371,1546660,,,,4187565
21-04-2021,Tamil Nadu,4965564,600209,2062235,1559583,,,,4223251
22-04-2021,Tamil Nadu,5075681,603361,2087506,1576796,,,,4268889
23-04-2021,Tamil Nadu,5205556,607068,2118184,1596851,,,,4323326
24-04-2021,Tamil Nadu,5327915,611262,2149759,1614410,,,,4376661
25-04-2021,Tamil Nadu,5351073,612470,2156407,1618277,,,,4388384
26-04-2021,Tamil Nadu,5483332,615923,2185555,1637581,,,,4440291
27-04-2021,Tamil Nadu,5624732,813952,2023847,1656603,,,,4495630
28-04-2021,Tamil Nadu,5740648,819886,2050283,1672879,,,,4544279
29-04-2021,Tamil Nadu,5845197,825686,2075222,1687749,,,,4589747
30-04-2021,Tamil Nadu,5947056,831994,2100415,1701578,,,,4635084
01-05-2021,Tamil Nadu,6030884,837214,2121033,1712362,,,,4671707
02-05-2021,Tamil Nadu,6046415,832596,2131136,1714547,,,,4679335
03-05-2021,Tamil Nadu,6135244,839058,2150306,1726414,,,,4716835
04-05-2021,Tamil Nadu,6210666,846393,2166969,1735936,,,,4750360
05-05-2021,Tamil Nadu,6279062,853351,2182289,1744776,,,,4781479
06-05-2021,Tamil Nadu,6379188,862476,2203648,1755989,,,,4823176
07-05-2021,Tamil Nadu,6478830,872912,2225561,1767024,,,,4866561
08-05-2021,Tamil Nadu,6546261,880824,2239487,1774074,,,,4895451
09-05-2021,Tamil Nadu,6569914,883930,2244165,1776901,,,,4906062
10-05-2021,Tamil Nadu,6676837,893529,2267276,1789425,,,,4951333
11-05-2021,Tamil Nadu,6762623,904479,2286716,1799065,,,,4991388
12-05-2021,Tamil Nadu,6851406,915658,2310165,1810620,,,,5037596
13-05-2021,Tamil Nadu,6951309,929471,2337722,1823765,,,,5092140
14-05-2021,Tamil Nadu,7009930,938151,2355329,1831396,,,,5126070
15-05-2021,Tamil Nadu,7074066,948615,2373734,1839278,,,,5162834
16-05-2021,Tamil Nadu,7088176,951488,2378644,1841624,,,,5172965
17-05-2021,Tamil Nadu,7145700,961398,2402529,1851650,,,,5216811
18-05-2021,Tamil Nadu,7194563,973531,2421501,1859315,,,,5255610
19-05-2021,Tamil Nadu,7238986,985250,2439234,1866262,,,,5292027
20-05-2021,Tamil Nadu,7281385,997180,2457011,1873225,,,,5328713
21-05-2021,Tamil Nadu,7324570,1010184,2475298,1880086,,,,5366882
22-05-2021,Tamil Nadu,7376365,1024874,2498682,1889605,,,,5414503
23-05-2021,Tamil Nadu,7391550,1029907,2504920,1892281,,,,5428452
24-05-2021,Tamil Nadu,7474446,1078410,2526597,1901026,,,,5507417
25-05-2021,Tamil Nadu,7661541,1233814,2546666,1908399,,,,5690306
26-05-2021,Tamil Nadu,7911981,1443321,2574094,1918723,,,,5937633
27-05-2021,Tamil Nadu,8207573,1678796,2614949,1933278,,,,6228593
28-05-2021,Tamil Nadu,8515660,1918692,2653167,1946732,,,,6520208
29-05-2021,Tamil Nadu,8794771,2134830,2686468,1958773,,,,6781739
30-05-2021,Tamil Nadu,8893998,2205561,2702698,1965148,,,,6875084
31-05-2021,Tamil Nadu,9095854,2328317,2749968,1983101,,,,7063107
01-06-2021,Tamil Nadu,9240004,2412174,2781604,1994628,,,,7190142
02-06-2021,Tamil Nadu,9349171,2475113,2806214,2003732,,,,7286844
03-06-2021,Tamil Nadu,9620641,2629677,2881221,2032962,,,,7545710
04-06-2021,Tamil Nadu,9876220,2788463,2943579,2056176,,,,7790199
05-06-2021,Tamil Nadu,10018873,2879183,2975186,2068285,,,,7924700
06-06-2021,Tamil Nadu,10069493,2910677,2986909,2072824,,,,7972482
07-06-2021,Tamil Nadu,10135731,2950450,3000710,2078369,,,,8031685
08-06-2021,Tamil Nadu,10185541,2983869,3009106,2081619,,,,8076791
09-06-2021,Tamil Nadu,10228792,3013380,3016162,2084330,,,,8116108
10-06-2021,Tamil Nadu,10272414,3044343,3022731,2086846,,,,8156189
11-06-2021,Tamil Nadu,10340158,3087391,3034365,2091644,,,,8215741
12-06-2021,Tamil Nadu,10648430,3290522,3094824,2115532,,,,8503345
13-06-2021,Tamil Nadu,10866186,3434812,3140460,2134110,,,,8711904
14-06-2021,Tamil Nadu,11147886,3614126,3200509,2159655,,,,8976866
15-06-2021,Tamil Nadu,11285738,3700064,3229605,2172227,,,,9104491
16-06-2021,Tamil Nadu,11643851,3922308,3310024,2206638,,,,9441618
17-06-2021,Tamil Nadu,11935112,4104739,3372437,2233154,,,,9713059
18-06-2021,Tamil Nadu,12148674,4240700,3416060,2251458,,,,9911018
19-06-2021,Tamil Nadu,12498914,4466868,3486880,2281775,,,,10238404
20-06-2021,Tamil Nadu,12701415,4590717,3532603,2302968,,,,10429212
21-06-2021,Tamil Nadu,13106666,4836041,3622791,2345177,,,,10807056
22-06-2021,Tamil Nadu,13414792,5025720,3688797,2375180,,,,11092832
23-06-2021,Tamil Nadu,13636788,5158885,3732182,2395404,,,,11289696
24-06-2021,Tamil Nadu,14048419,5399739,3818552,2437324,,,,11658908
16-03-2021,Telangana,722573,205955,176024,125542,,,,507868
17-03-2021,Telangana,845902,207730,205713,216215,,,,630011
18-03-2021,Telangana,878581,209569,216283,235253,,,,661459
19-03-2021,Telangana,906927,211489,225952,250871,,,,688667
20-03-2021,Telangana,939941,213895,238469,267674,,,,720396
21-03-2021,Telangana,943919,214173,240316,269415,,,,724262
22-03-2021,Telangana,979723,216031,252805,289528,,,,758722
23-03-2021,Telangana,1016879,218732,266522,308322,,,,793939
24-03-2021,Telangana,1051931,220971,279669,327168,,,,828174
25-03-2021,Telangana,1093196,224063,294198,348399,,,,867030
26-03-2021,Telangana,1134829,227416,309894,367847,,,,905529
27-03-2021,Telangana,1171066,230312,325718,384392,,,,940796
28-03-2021,Telangana,1173165,230439,326748,385307,,,,942868
29-03-2021,Telangana,1186001,231287,332471,391284,,,,955419
30-03-2021,Telangana,1231006,233794,349649,413776,,,,997601
31-03-2021,Telangana,1267237,236090,363260,430930,,,,1030664
01-04-2021,Telangana,1317924,237922,390227,449293,,,,1077830
02-04-2021,Telangana,1384865,240543,428505,470684,,,,1140121
03-04-2021,Telangana,1434779,242735,455798,486919,,,,1185843
04-04-2021,Telangana,1478863,244568,482299,499769,,,,1227030
05-04-2021,Telangana,1534833,244692,512896,520497,,,,1278480
06-04-2021,Telangana,1573611,244791,534194,534203,,,,1313584
07-04-2021,Telangana,1676020,245075,589716,570758,,,,1405944
08-04-2021,Telangana,1783117,245353,648331,610489,,,,1504570
09-04-2021,Telangana,1898182,247132,712951,650897,,,,1611380
10-04-2021,Telangana,2059925,259197,806404,697424,,,,1763427
11-04-2021,Telangana,2161186,266656,865782,728436,,,,1861282
12-04-2021,Telangana,2292040,277167,936417,768561,,,,1982573
13-04-2021,Telangana,2318151,278801,952041,775705,,,,2006982
14-04-2021,Telangana,2452611,283574,1021556,823906,,,,2129490
15-04-2021,Telangana,2621835,289657,1108497,884712,,,,2283343
16-04-2021,Telangana,2802063,296167,1204245,946717,,,,2447626
17-04-2021,Telangana,2952245,302095,1288120,994240,,,,2584964
18-04-2021,Telangana,2960202,302297,1292208,996080,,,,2591096
19-04-2021,Telangana,3132540,306160,1381368,1053965,,,,2742005
20-04-2021,Telangana,3272099,310623,1453956,1096166,,,,2861258
21-04-2021,Telangana,3394643,314138,1519029,1131784,,,,2965467
22-04-2021,Telangana,3604586,319153,1629612,1199028,,,,3148315
23-04-2021,Telangana,3811861,325257,1744777,1261930,,,,3332501
24-04-2021,Telangana,4003828,331163,1853286,1315047,,,,3500047
25-04-2021,Telangana,4071469,333142,1893504,1331943,,,,3559142
26-04-2021,Telangana,4286975,338254,2011580,1394261,,,,3744656
27-04-2021,Telangana,4400003,431082,1983240,1422302,,,,3837190
28-04-2021,Telangana,4542064,436534,2059973,1458318,,,,3955399
29-04-2021,Telangana,4612780,439001,2096390,1474714,,,,4010610
30-04-2021,Telangana,4780184,446819,2189913,1514512,,,,4151762
01-05-2021,Telangana,4787544,447462,2193871,1516082,,,,4157933
02-05-2021,Telangana,4787811,445480,2196001,1516126,,,,4158090
03-05-2021,Telangana,4815920,445996,2210501,1521696,,,,4178677
04-05-2021,Telangana,4881513,446894,2244903,1535444,,,,4227755
05-05-2021,Telangana,4960587,447883,2277994,1548794,,,,4275187
06-05-2021,Telangana,5042065,448559,2313366,1563462,,,,4325903
07-05-2021,Telangana,5122572,449240,2348917,1577742,,,,4376415
08-05-2021,Telangana,5202960,449701,2355564,1582854,,,,4388638
09-05-2021,Telangana,5205226,449810,2356121,1583142,,,,4389592
10-05-2021,Telangana,5313900,450634,2364922,1590381,,,,4406542
11-05-2021,Telangana,5406513,451686,2373531,1596546,,,,4422419
12-05-2021,Telangana,5440783,452473,2378847,1600329,,,,4432324
13-05-2021,Telangana,5479812,453149,2384812,1603807,,,,4442464
14-05-2021,Telangana,5513553,453678,2389428,1606209,,,,4450029
15-05-2021,Telangana,5513738,453653,2389453,1606206,,,,4450028
16-05-2021,Telangana,5513723,453649,2389442,1606206,,,,4450013
17-05-2021,Telangana,5514512,453635,2389877,1606366,,,,4450594
18-05-2021,Telangana,5516590,453639,2390413,1606543,,,,4451311
19-05-2021,Telangana,5519773,453644,2390776,1606688,,,,4451824
20-05-2021,Telangana,5523167,453639,2391289,1606927,,,,4452572
21-05-2021,Telangana,5523980,453629,2391622,1607065,,,,4453033
22-05-2021,Telangana,5526806,453625,2391883,1607200,,,,4453425
23-05-2021,Telangana,5527533,453624,2392157,1607339,,,,4453837
24-05-2021,Telangana,5530377,453622,2392589,1607557,,,,4454485
25-05-2021,Telangana,5589800,454272,2398315,1609505,,,,4462811
26-05-2021,Telangana,5653872,458630,2405956,1612643,,,,4477983
27-05-2021,Telangana,5704158,467138,2412366,1615236,,,,4495506
28-05-2021,Telangana,5807342,529528,2427887,1619705,,,,4577957
29-05-2021,Telangana,5918092,602831,2444566,1624470,,,,4672773
30-05-2021,Telangana,5985460,655169,2454228,1627019,,,,4737360
31-05-2021,Telangana,6064809,703935,2466797,1631012,,,,4802730
01-06-2021,Telangana,6151360,762646,2479776,1635537,,,,4878994
02-06-2021,Telangana,6226923,817205,2490283,1639129,,,,4947737
03-06-2021,Telangana,6320774,886288,2502772,1643312,,,,5033655
04-06-2021,Telangana,6428387,965847,2517549,1648211,,,,5133125
05-06-2021,Telangana,6577056,1081303,2537206,1654521,,,,5274798
06-06-2021,Telangana,6695588,1176114,2553853,1660092,,,,5391957
07-06-2021,Telangana,6865466,1306111,2578096,1667886,,,,5554284
08-06-2021,Telangana,7046084,1446444,2603255,1676452,,,,5728537
09-06-2021,Telangana,7224148,1585877,2627170,1684671,,,,5900344
10-06-2021,Telangana,7404779,1725953,2652567,1693459,,,,6074863
11-06-2021,Telangana,7616140,1891763,2681553,1703291,,,,6279779
12-06-2021,Telangana,7830864,2058550,2712294,1713763,,,,6488020
13-06-2021,Telangana,7981120,2177363,2734616,1721404,,,,6636883
14-06-2021,Telangana,8167470,2323486,2760464,1730271,,,,6817886
15-06-2021,Telangana,8333524,2454248,2783385,1737601,,,,6979076
16-06-2021,Telangana,8511947,2591061,2810321,1746560,,,,7151956
17-06-2021,Telangana,8694842,2728097,2838790,1756327,,,,7327371
18-06-2021,Telangana,8874911,2862757,2866422,1766071,,,,7499623
19-06-2021,Telangana,9069710,3009035,2894698,1775973,,,,7684311
20-06-2021,Telangana,9173921,3087828,2910862,1781783,,,,7785158
21-06-2021,Telangana,9327568,3197865,2935151,1790941,,,,7928931
22-06-2021,Telangana,9486520,3312278,2959190,1800017,,,,8076582
23-06-2021,Telangana,9654533,3427323,2989071,1811750,,,,8233390
24-06-2021,Telangana,9865603,3574601,3024763,1825306,,,,8430040
16-03-2021,Tripura,219327,52713,76057,33213,,,,162040
17-03-2021,Tripura,228934,52885,80993,36857,,,,170793
18-03-2021,Tripura,256216,53683,93698,47440,,,,194882
19-03-2021,Tripura,287711,54406,109029,60076,,,,223573
20-03-2021,Tripura,313388,54866,123057,69890,,,,247875
21-03-2021,Tripura,323586,54922,129139,73821,,,,257944
22-03-2021,Tripura,355556,55472,145544,86790,,,,287869
23-03-2021,Tripura,407572,56106,174672,107087,,,,337930
24-03-2021,Tripura,467382,56529,209342,130698,,,,396634
25-03-2021,Tripura,531721,57028,247391,155240,,,,459726
26-03-2021,Tripura,599228,57627,289145,179397,,,,526236
27-03-2021,Tripura,624648,57894,304468,188874,,,,551306
28-03-2021,Tripura,632439,57938,309531,191497,,,,559037
29-03-2021,Tripura,633966,57951,310457,192082,,,,560561
30-03-2021,Tripura,660734,58360,326038,201511,,,,585980
31-03-2021,Tripura,673612,58619,333386,205880,,,,597956
01-04-2021,Tripura,689959,58948,343362,210758,,,,613140
02-04-2021,Tripura,702866,59198,351308,214593,,,,625172
03-04-2021,Tripura,714805,59373,358313,218169,,,,635930
04-04-2021,Tripura,725171,59443,364452,221378,,,,645348
05-04-2021,Tripura,739873,59459,372818,225569,,,,657921
06-04-2021,Tripura,751713,59468,380186,228949,,,,668678
07-04-2021,Tripura,764951,59499,388428,232374,,,,680375
08-04-2021,Tripura,785418,59540,400789,237607,,,,698009
09-04-2021,Tripura,802740,59866,411073,241919,,,,712932
10-04-2021,Tripura,812195,59976,416661,244219,,,,720930
11-04-2021,Tripura,819047,59993,420990,246115,,,,727172
12-04-2021,Tripura,832810,60090,428018,249471,,,,737653
13-04-2021,Tripura,842326,60427,432699,251703,,,,744903
14-04-2021,Tripura,845145,60510,434075,252335,,,,746994
15-04-2021,Tripura,845297,60491,434148,252360,,,,747073
16-04-2021,Tripura,862461,60799,440348,255187,,,,756408
17-04-2021,Tripura,880184,60971,446976,258189,,,,766208
18-04-2021,Tripura,886066,61127,449160,259106,,,,769465
19-04-2021,Tripura,910220,61252,455990,262853,,,,780166
20-04-2021,Tripura,933793,61451,463095,266275,,,,790891
21-04-2021,Tripura,941554,61498,465745,267543,,,,794856
22-04-2021,Tripura,953497,61547,469080,269006,,,,799703
23-04-2021,Tripura,984781,61864,476714,272549,,,,811199
24-04-2021,Tripura,1011821,62079,482989,275433,,,,820575
25-04-2021,Tripura,1020894,62134,485702,276726,,,,824638
26-04-2021,Tripura,1066507,62357,496024,281773,,,,840232
27-04-2021,Tripura,1113260,87200,482155,287152,,,,856586
28-04-2021,Tripura,1139662,87508,488175,290243,,,,866008
29-04-2021,Tripura,1189803,88046,498659,295485,,,,882252
30-04-2021,Tripura,1236761,88675,509441,300425,,,,898611
01-05-2021,Tripura,1261570,89531,514832,303066,,,,907499
02-05-2021,Tripura,1267044,88865,516981,303765,,,,909670
03-05-2021,Tripura,1284939,89535,520404,305491,,,,915489
04-05-2021,Tripura,1307268,89903,524284,307458,,,,921704
05-05-2021,Tripura,1328697,90281,527709,309419,,,,927468
06-05-2021,Tripura,1362400,90689,533009,312456,,,,936213
07-05-2021,Tripura,1396362,91185,539388,315857,,,,946489
08-05-2021,Tripura,1418622,91359,543526,318003,,,,952947
09-05-2021,Tripura,1421511,91384,544048,318253,,,,953744
10-05-2021,Tripura,1446246,91614,548665,320652,,,,960991
11-05-2021,Tripura,1465368,91894,552476,322564,,,,966997
12-05-2021,Tripura,1469744,92176,553541,323009,,,,968790
13-05-2021,Tripura,1479866,95400,555341,324023,,,,974828
